model used,cv_accuracy,accuracy,precision,recall,f1,roc_auc,pr_auc,confusion_matrix,param.clf__C,param.clf__l1_ratio,param.clf__n_neighbors,param.clf__weights,param.clf__max_depth,param.clf__min_samples_split,param.clf__min_samples_leaf,param.clf__n_estimators,param.clf__kernel,param.clf__learning_rate,param.n_layers,param.n_neurons,param.epochs,param.batch_size
gbm,0.8701030927835051,0.8978102189781022,0.8970588235294118,0.8970588235294118,0.8970588235294118,0.9567348678601875,0.9630437372328675,"[[62, 7], [7, 61]]",,,,,,,,100.0,,0.2,,,,
neural_net,0.845360824742268,0.8832116788321168,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9205029838022165,0.913551884276047,"[[61, 8], [8, 60]]",,,,,,,,,,,3.0,128.0,20.0,64.0
svm,0.8371134020618557,0.8540145985401459,0.8636363636363636,0.8382352941176471,0.8507462686567164,0.9309462915601023,0.9453100759121479,"[[60, 9], [11, 57]]",4.0,,,,,,,,rbf,,,,,
random_forest,0.8680412371134022,0.8467153284671532,0.8507462686567164,0.8382352941176471,0.8444444444444444,0.9482097186700768,0.9518362155292991,"[[59, 10], [11, 57]]",,,,,,,2.0,100.0,,,,,,
decision_tree,0.8082474226804124,0.8394160583941606,0.8382352941176471,0.8382352941176471,0.8382352941176471,0.8923699914748509,0.8494545003387253,"[[58, 11], [11, 57]]",,,,,50.0,20.0,,,,,,,,
logistic_regression,0.7938144329896908,0.8175182481751825,0.7945205479452054,0.8529411764705882,0.8226950354609929,0.9104859335038363,0.9135133520152295,"[[54, 15], [10, 58]]",0.1,0.0,,,,,,,,,,,,
knn,0.781443298969072,0.8102189781021898,0.7837837837837838,0.8529411764705882,0.8169014084507042,0.8670076726342713,0.8535947035178899,"[[53, 16], [10, 58]]",,,10.0,distance,,,,,,,,,,
